序号,阶段/类别,标题/Alt,视觉/用途解读,原始尺寸/信息,网页预览宽,网页预览高,HTML本地相对路径,原始资源链接
1,最终效果,封面-1-设计稿 (1),深色科技风封面：大标题、低饱和背景、少量线框装饰。,封面-1-设计稿 (1) 1920×1080 135 KB,690,388,./应该是目前最强的PPT Agent_files/ca785958d37aba2c5e234af1f4d969945ae87b2f_2_690x388.jpeg,https://cdn3.ldstatic.com/original/4X/c/a/7/ca785958d37aba2c5e234af1f4d969945ae87b2f.jpeg
2,最终效果,分层架构设计：从数据层到编排层-7-设计稿,深色青色科技风架构页：横向分层卡片 + 右侧安全能力纵向卡片。,分层架构设计：从数据层到编排层-7-设计稿 1920×1080 248 KB,690,388,./应该是目前最强的PPT Agent_files/2b9fbeb40ca978629c4986e994c2abc701f00121_2_690x388.jpeg,https://cdn3.ldstatic.com/original/4X/2/b/9/2b9fbeb40ca978629c4986e994c2abc701f00121.jpeg
3,最终效果,核心硬件：AIoT智能家居与人车家全生态闭环-8-设计稿,深色橙色科技风业务/生态页：数据卡、流程卡、中心关系图并置。,核心硬件：AIoT智能家居与人车家全生态闭环-8-设计稿 1920×1080 247 KB,690,388,./应该是目前最强的PPT Agent_files/aaf137fb6a7a4ddff3c818a7c07cd5cb44562aea_2_690x388.jpeg,https://cdn3.ldstatic.com/original/4X/a/a/f/aaf137fb6a7a4ddff3c818a7c07cd5cb44562aea.jpeg
4,最终效果/产品界面,微信图片_20260317175828_1476_1,浅色朱红宫墙/帝国极简风示例，展示整套页缩略图与设计确认侧栏。,微信图片_20260317175828_1476_1 1920×1030 296 KB,690,370,./应该是目前最强的PPT Agent_files/1181834e44162e2c873288ee999a8184e54380ad_2_690x370.jpeg,https://cdn3.ldstatic.com/original/4X/1/1/8/1181834e44162e2c873288ee999a8184e54380ad.jpeg
5,最终效果/产品界面,微信图片_20260317175833_1477_1,浅色中性蓝图风示例，Bento 卡片、流程插画和整套页缩略图。,微信图片_20260317175833_1477_1 1920×1217 276 KB,690,437,./应该是目前最强的PPT Agent_files/cfdbb2954d1b93ffc430c8a5652b3ef34f92dc5b_2_690x437.jpeg,https://cdn3.ldstatic.com/original/4X/c/f/d/cfdbb2954d1b93ffc430c8a5652b3ef34f92dc5b.jpeg
6,产品流程动图,3333,从主题输入到自动执行完整流程的动图。,,270,250,./应该是目前最强的PPT Agent_files/273349036183b47dd6873ff8a6fc4b7a269bc974.gif,https://cdn3.ldstatic.com/original/4X/2/7/3/273349036183b47dd6873ff8a6fc4b7a269bc974.gif
7,完整成品动图,640 (5),整套演示文稿的连续预览动图。,,690,393,./应该是目前最强的PPT Agent_files/f1aab7cf304e037dc060a30e2f22555a06a83a24.gif,https://cdn3.ldstatic.com/original/4X/f/1/a/f1aab7cf304e037dc060a30e2f22555a06a83a24.gif
8,需求调研,640 (3),先做背景调研，再用多轮选择题确认页数、内容重点等需求。,640 (3) 1080×608 29.6 KB,690,388,./应该是目前最强的PPT Agent_files/f45478b3c2c96c726e50d357f2b776f372267dfc_2_690x388.webp,https://cdn3.ldstatic.com/original/4X/f/4/5/f45478b3c2c96c726e50d357f2b776f372267dfc.webp
9,大纲策划,1,“数字便利贴”式页面大纲与顺序调整界面。,,690,415,./应该是目前最强的PPT Agent_files/1cec102727d58958c25d6da46a1955e063b95199.gif,https://cdn3.ldstatic.com/original/4X/1/c/e/1cec102727d58958c25d6da46a1955e063b95199.gif
10,资料检索,640 (4),项目内搜索接口：按页面/主题检索并汇集多条资料。,640 (4) 1080×522 50.9 KB,690,333,./应该是目前最强的PPT Agent_files/62a898a2d1178c85985ece017fc7ec2f166280c4_2_690x333.webp,https://cdn3.ldstatic.com/original/4X/6/2/a/62a898a2d1178c85985ece017fc7ec2f166280c4.webp
11,资料检索,ScreenShot_2026-03-19_104103_358,Grok 搜索与总结示例。,ScreenShot_2026-03-19_104103_358 3414×1536 459 KB,690,310,./应该是目前最强的PPT Agent_files/6305c980802f3a1ddff840e44a71c842a9d9ea88_2_690x310.png,https://cdn3.ldstatic.com/original/4X/6/3/0/6305c980802f3a1ddff840e44a71c842a9d9ea88.png
12,人类专家流程参考,640 (5),结构构思/方案 → 文案创作 → 内容提炼/可视化。,640 (5) 1080×387 20.7 KB,690,247,./应该是目前最强的PPT Agent_files/6bffcac7dd291641b6cdfa71cce3538a58248974_2_690x247.webp,https://cdn3.ldstatic.com/original/4X/6/b/f/6bffcac7dd291641b6cdfa71cce3538a58248974.webp
13,策划稿,640 (7),单页策划初稿：先确定信息区块、占位内容与版式，不追求最终视觉。,640 (7) 1080×580 32 KB,690,370,./应该是目前最强的PPT Agent_files/b6318bdc47fbfd9d7466fdbb944ad839d6154158_2_690x370.webp,https://cdn3.ldstatic.com/original/4X/b/6/3/b6318bdc47fbfd9d7466fdbb944ad839d6154158.webp
14,策划稿初稿,640 (6),浅色低装饰页面，保留图表/图片占位框。,640 (6) 1080×763 33.2 KB,690,487,./应该是目前最强的PPT Agent_files/519bbc1c6824983966ca86882578e0c752288d66_2_690x487.webp,https://cdn3.ldstatic.com/original/4X/5/1/9/519bbc1c6824983966ca86882578e0c752288d66.webp
15,最终设计稿,640 (8),在同一信息结构上增加深色主题、真实图像、图表与视觉层级。,640 (8) 1080×763 38.4 KB,690,487,./应该是目前最强的PPT Agent_files/bc840a42bada631399f6d5c0504b9b11990210a7_2_690x487.webp,https://cdn3.ldstatic.com/original/4X/b/c/8/bc840a42bada631399f6d5c0504b9b11990210a7.webp
